Date,Likes,Shares,Comments,Posts,Name,Color
2019-08-28,90,95,4,1,Fatmir Limaj,#33a02c
2019-08-29,137,101,1,2,Fatmir Limaj,#33a02c
2019-09-04,140,96,1,1,Fatmir Limaj,#33a02c
2019-09-05,460,18,3,3,Fatmir Limaj,#33a02c
2019-09-06,54,13,0,1,Fatmir Limaj,#33a02c
2019-09-07,878,82,14,7,Fatmir Limaj,#33a02c
2019-06-03,8970,246,1721,1,Albin Kurti,#e31a1c
2019-06-04,11095,287,425,2,Albin Kurti,#e31a1c
2019-06-06,3261,93,92,1,Albin Kurti,#e31a1c
2019-06-07,2159,88,38,1,Albin Kurti,#e31a1c
2019-06-09,3045,108,123,1,Albin Kurti,#e31a1c
2019-06-10,2449,70,46,1,Albin Kurti,#e31a1c
2019-06-13,4578,164,298,1,Albin Kurti,#e31a1c
2019-06-15,1409,44,22,1,Albin Kurti,#e31a1c
2019-06-18,2664,108,566,1,Albin Kurti,#e31a1c
2019-06-19,2009,87,88,1,Albin Kurti,#e31a1c
2019-06-20,2349,114,78,1,Albin Kurti,#e31a1c
2019-06-21,1948,45,81,1,Albin Kurti,#e31a1c
2019-06-23,2059,145,169,1,Albin Kurti,#e31a1c
2019-06-24,3451,488,302,1,Albin Kurti,#e31a1c
2019-06-25,2037,113,74,1,Albin Kurti,#e31a1c
2019-06-27,2833,208,133,2,Albin Kurti,#e31a1c
2019-06-28,3498,166,118,2,Albin Kurti,#e31a1c
2019-06-29,4532,82,3202,1,Albin Kurti,#e31a1c
2019-07-01,3424,270,105,2,Albin Kurti,#e31a1c
2019-07-02,1367,58,19,1,Albin Kurti,#e31a1c
2019-07-04,2364,120,97,1,Albin Kurti,#e31a1c
2019-07-08,1724,119,57,1,Albin Kurti,#e31a1c
2019-07-12,2442,97,105,1,Albin Kurti,#e31a1c
2019-07-13,1281,69,18,1,Albin Kurti,#e31a1c
2019-07-14,1535,88,48,1,Albin Kurti,#e31a1c
2019-07-15,1313,75,17,1,Albin Kurti,#e31a1c
2019-07-17,1955,96,74,1,Albin Kurti,#e31a1c
2019-07-19,8110,753,2898,1,Albin Kurti,#e31a1c
2019-07-21,3070,192,282,1,Albin Kurti,#e31a1c
2019-07-22,3256,61,109,1,Albin Kurti,#e31a1c
2019-07-25,9834,398,551,2,Albin Kurti,#e31a1c
2019-07-26,3673,154,137,1,Albin Kurti,#e31a1c
2019-07-27,2480,28,67,1,Albin Kurti,#e31a1c
2019-07-29,3670,154,347,1,Albin Kurti,#e31a1c
2019-07-30,7134,396,482,2,Albin Kurti,#e31a1c
2019-07-31,6231,286,257,2,Albin Kurti,#e31a1c
2019-08-01,2398,71,35,1,Albin Kurti,#e31a1c
2019-08-02,5657,182,352,1,Albin Kurti,#e31a1c
2019-08-03,4253,169,151,1,Albin Kurti,#e31a1c
2019-08-04,6517,296,439,1,Albin Kurti,#e31a1c
2019-08-06,5042,399,416,1,Albin Kurti,#e31a1c
2019-08-07,2398,133,121,1,Albin Kurti,#e31a1c
2019-08-11,5648,146,278,1,Albin Kurti,#e31a1c
2019-08-13,16872,353,3166,2,Albin Kurti,#e31a1c
2019-08-14,4191,198,115,1,Albin Kurti,#e31a1c
2019-08-15,2299,92,61,1,Albin Kurti,#e31a1c
2019-08-16,8831,461,590,2,Albin Kurti,#e31a1c
2019-08-17,3488,267,176,1,Albin Kurti,#e31a1c
2019-08-18,2002,45,43,1,Albin Kurti,#e31a1c
2019-08-19,5889,111,238,1,Albin Kurti,#e31a1c
2019-08-20,8415,390,930,1,Albin Kurti,#e31a1c
2019-08-22,21917,1426,6594,3,Albin Kurti,#e31a1c
2019-08-23,11245,251,605,2,Albin Kurti,#e31a1c
2019-08-24,18363,774,2154,4,Albin Kurti,#e31a1c
2019-08-25,11210,303,582,2,Albin Kurti,#e31a1c
2019-08-26,11707,446,593,2,Albin Kurti,#e31a1c
2019-08-27,11504,335,663,2,Albin Kurti,#e31a1c
2019-08-28,26807,2120,2865,3,Albin Kurti,#e31a1c
2019-08-29,4529,108,197,1,Albin Kurti,#e31a1c
2019-08-30,18096,1894,3515,2,Albin Kurti,#e31a1c
2019-08-31,4517,124,286,1,Albin Kurti,#e31a1c
2019-09-01,12946,254,549,3,Albin Kurti,#e31a1c
2019-09-02,15963,442,665,4,Albin Kurti,#e31a1c
2019-09-03,3785,115,163,1,Albin Kurti,#e31a1c
2019-09-04,19657,1192,5265,4,Albin Kurti,#e31a1c
2019-09-05,17941,768,1164,3,Albin Kurti,#e31a1c
2019-09-06,4345,97,194,1,Albin Kurti,#e31a1c
2019-09-07,29973,412,1676,4,Albin Kurti,#e31a1c
2019-09-08,1821,67,56,1,Albin Kurti,#e31a1c
2019-07-16,1313,18,105,2,Ramush Haradinaj,#fb9a99
2019-07-17,5522,86,74,6,Ramush Haradinaj,#fb9a99
2019-07-18,16258,325,994,12,Ramush Haradinaj,#fb9a99
2019-07-19,53664,2598,9250,7,Ramush Haradinaj,#fb9a99
2019-07-21,16484,417,1395,3,Ramush Haradinaj,#fb9a99
2019-07-22,22173,660,2113,7,Ramush Haradinaj,#fb9a99
2019-07-23,16762,580,1359,1,Ramush Haradinaj,#fb9a99
2019-07-24,17144,583,746,3,Ramush Haradinaj,#fb9a99
2019-07-25,30038,803,2103,2,Ramush Haradinaj,#fb9a99
2019-07-26,19453,363,1640,10,Ramush Haradinaj,#fb9a99
2019-07-27,11141,1581,2482,1,Ramush Haradinaj,#fb9a99
2019-07-28,7690,27,225,1,Ramush Haradinaj,#fb9a99
2019-07-29,23348,362,1488,10,Ramush Haradinaj,#fb9a99
2019-07-30,5211,58,68,7,Ramush Haradinaj,#fb9a99
2019-07-31,2992,37,43,2,Ramush Haradinaj,#fb9a99
2019-08-01,4635,116,121,2,Ramush Haradinaj,#fb9a99
2019-08-02,13736,333,692,4,Ramush Haradinaj,#fb9a99
2019-08-03,6818,118,328,4,Ramush Haradinaj,#fb9a99
2019-08-04,12116,334,759,8,Ramush Haradinaj,#fb9a99
2019-08-05,21043,209,851,4,Ramush Haradinaj,#fb9a99
2019-08-06,21610,268,660,1,Ramush Haradinaj,#fb9a99
2019-08-07,1170,13,171,1,Ramush Haradinaj,#fb9a99
2019-08-08,1656,40,32,1,Ramush Haradinaj,#fb9a99
2019-08-09,6869,115,151,1,Ramush Haradinaj,#fb9a99
2019-08-10,7953,79,317,4,Ramush Haradinaj,#fb9a99
2019-08-11,15252,111,454,3,Ramush Haradinaj,#fb9a99
2019-08-13,6852,191,395,4,Ramush Haradinaj,#fb9a99
2019-08-14,15546,156,601,2,Ramush Haradinaj,#fb9a99
2019-08-15,6545,174,196,2,Ramush Haradinaj,#fb9a99
2019-08-16,14138,352,653,7,Ramush Haradinaj,#fb9a99
2019-08-17,15276,204,689,6,Ramush Haradinaj,#fb9a99
2019-08-18,34853,708,3381,9,Ramush Haradinaj,#fb9a99
2019-08-19,11590,480,1936,6,Ramush Haradinaj,#fb9a99
2019-08-20,12935,257,533,6,Ramush Haradinaj,#fb9a99
2019-08-21,19569,287,559,10,Ramush Haradinaj,#fb9a99
2019-08-22,19488,986,700,6,Ramush Haradinaj,#fb9a99
2019-08-23,18695,367,1336,6,Ramush Haradinaj,#fb9a99
2019-08-24,24143,202,948,4,Ramush Haradinaj,#fb9a99
2019-08-25,15831,333,4984,6,Ramush Haradinaj,#fb9a99
2019-08-26,29141,1769,1023,12,Ramush Haradinaj,#fb9a99
2019-08-27,19135,1102,1431,8,Ramush Haradinaj,#fb9a99
2019-08-28,8202,618,917,4,Ramush Haradinaj,#fb9a99
2019-08-29,13282,1114,829,8,Ramush Haradinaj,#fb9a99
2019-08-30,32881,2139,3788,14,Ramush Haradinaj,#fb9a99
2019-08-31,23712,1395,996,12,Ramush Haradinaj,#fb9a99
2019-09-01,17145,382,1594,7,Ramush Haradinaj,#fb9a99
2019-09-02,38584,1755,4134,14,Ramush Haradinaj,#fb9a99
2019-09-03,27527,1063,1583,10,Ramush Haradinaj,#fb9a99
2019-09-04,12403,1120,778,5,Ramush Haradinaj,#fb9a99
2019-09-05,15703,1545,906,10,Ramush Haradinaj,#fb9a99
2019-09-06,10484,480,1277,7,Ramush Haradinaj,#fb9a99
2019-09-07,39805,4484,3048,9,Ramush Haradinaj,#fb9a99
2019-09-08,2158,57,319,2,Ramush Haradinaj,#fb9a99
2017-05-31,908,12,41,1,Vjosa R. Osmani,#a6cee3
2017-08-01,2132,127,82,1,Vjosa R. Osmani,#a6cee3
2018-06-12,353,60,9,1,Vjosa R. Osmani,#a6cee3
2019-05-31,3241,202,418,2,Vjosa R. Osmani,#a6cee3
2019-06-01,164,25,9,1,Vjosa R. Osmani,#a6cee3
2019-06-04,1349,43,116,1,Vjosa R. Osmani,#a6cee3
2019-06-05,505,32,106,1,Vjosa R. Osmani,#a6cee3
2019-06-07,737,54,38,1,Vjosa R. Osmani,#a6cee3
2019-06-10,1437,125,84,3,Vjosa R. Osmani,#a6cee3
2019-06-11,2602,184,79,3,Vjosa R. Osmani,#a6cee3
2019-06-12,4688,319,136,5,Vjosa R. Osmani,#a6cee3
2019-06-13,1044,55,32,1,Vjosa R. Osmani,#a6cee3
2019-06-14,1060,39,54,1,Vjosa R. Osmani,#a6cee3
2019-06-17,6239,241,244,1,Vjosa R. Osmani,#a6cee3
2019-06-19,1859,59,78,1,Vjosa R. Osmani,#a6cee3
2019-06-21,512,21,21,1,Vjosa R. Osmani,#a6cee3
2019-06-24,689,42,31,1,Vjosa R. Osmani,#a6cee3
2019-06-26,1104,66,79,1,Vjosa R. Osmani,#a6cee3
2019-06-27,695,32,48,1,Vjosa R. Osmani,#a6cee3
2019-06-28,597,29,34,2,Vjosa R. Osmani,#a6cee3
2019-06-30,3003,101,252,1,Vjosa R. Osmani,#a6cee3
2019-07-02,1300,22,27,1,Vjosa R. Osmani,#a6cee3
2019-07-04,618,28,27,1,Vjosa R. Osmani,#a6cee3
2019-07-06,681,36,26,1,Vjosa R. Osmani,#a6cee3
2019-07-11,253,27,5,1,Vjosa R. Osmani,#a6cee3
2019-07-16,1182,61,46,1,Vjosa R. Osmani,#a6cee3
2019-07-18,512,106,99,1,Vjosa R. Osmani,#a6cee3
2019-07-19,4813,156,175,1,Vjosa R. Osmani,#a6cee3
2019-07-22,1045,90,59,1,Vjosa R. Osmani,#a6cee3
2019-07-23,456,35,23,1,Vjosa R. Osmani,#a6cee3
2019-08-04,2467,106,164,1,Vjosa R. Osmani,#a6cee3
2019-08-05,5065,234,251,2,Vjosa R. Osmani,#a6cee3
2019-08-06,1997,104,65,1,Vjosa R. Osmani,#a6cee3
2019-08-07,2099,111,171,1,Vjosa R. Osmani,#a6cee3
2019-08-09,1644,103,77,1,Vjosa R. Osmani,#a6cee3
2019-08-11,2136,43,147,1,Vjosa R. Osmani,#a6cee3
2019-08-20,1454,55,43,1,Vjosa R. Osmani,#a6cee3
2019-08-21,1322,79,54,2,Vjosa R. Osmani,#a6cee3
2019-08-22,3843,428,456,2,Vjosa R. Osmani,#a6cee3
2019-08-24,6254,288,590,1,Vjosa R. Osmani,#a6cee3
2019-08-26,5481,186,1457,2,Vjosa R. Osmani,#a6cee3
2019-08-27,21953,1124,2147,9,Vjosa R. Osmani,#a6cee3
2019-08-28,14102,783,754,5,Vjosa R. Osmani,#a6cee3
2019-08-29,8426,560,363,3,Vjosa R. Osmani,#a6cee3
2019-08-30,3108,125,131,1,Vjosa R. Osmani,#a6cee3
2019-08-31,17846,894,936,4,Vjosa R. Osmani,#a6cee3
2019-09-01,10683,780,2165,4,Vjosa R. Osmani,#a6cee3
2019-09-02,10069,749,1561,4,Vjosa R. Osmani,#a6cee3
2019-09-03,13133,1033,983,6,Vjosa R. Osmani,#a6cee3
2019-09-04,5224,618,226,2,Vjosa R. Osmani,#a6cee3
2019-09-05,9668,718,518,5,Vjosa R. Osmani,#a6cee3
2019-09-06,2235,121,166,1,Vjosa R. Osmani,#a6cee3
2019-09-07,11103,410,305,4,Vjosa R. Osmani,#a6cee3
2019-04-27,826,22,18,1,Kadri Veseli,#1f78b4
2019-04-28,1383,28,122,2,Kadri Veseli,#1f78b4
2019-04-30,4558,126,329,4,Kadri Veseli,#1f78b4
2019-05-01,1251,33,96,1,Kadri Veseli,#1f78b4
2019-05-02,2188,87,144,3,Kadri Veseli,#1f78b4
2019-05-03,5502,500,630,3,Kadri Veseli,#1f78b4
2019-05-04,932,29,12,1,Kadri Veseli,#1f78b4
2019-05-05,2802,52,70,2,Kadri Veseli,#1f78b4
2019-05-06,33326,280,2144,4,Kadri Veseli,#1f78b4
2019-05-07,5879,151,235,4,Kadri Veseli,#1f78b4
2019-05-09,4829,55,567,3,Kadri Veseli,#1f78b4
2019-05-10,959,65,318,1,Kadri Veseli,#1f78b4
2019-05-11,9458,27,490,1,Kadri Veseli,#1f78b4
2019-05-12,4324,39,167,1,Kadri Veseli,#1f78b4
2019-05-13,1428,33,33,1,Kadri Veseli,#1f78b4
2019-05-14,4532,100,216,5,Kadri Veseli,#1f78b4
2019-05-15,3891,110,428,3,Kadri Veseli,#1f78b4
2019-05-16,4660,141,294,4,Kadri Veseli,#1f78b4
2019-05-17,1444,56,576,2,Kadri Veseli,#1f78b4
2019-05-18,1937,50,52,1,Kadri Veseli,#1f78b4
2019-05-19,2296,39,47,2,Kadri Veseli,#1f78b4
2019-05-20,1530,61,341,1,Kadri Veseli,#1f78b4
2019-05-21,5356,146,180,4,Kadri Veseli,#1f78b4
2019-05-23,3573,187,750,2,Kadri Veseli,#1f78b4
2019-05-24,2264,62,185,2,Kadri Veseli,#1f78b4
2019-05-25,1128,25,43,1,Kadri Veseli,#1f78b4
2019-05-26,1365,16,31,1,Kadri Veseli,#1f78b4
2019-05-27,4665,152,367,4,Kadri Veseli,#1f78b4
2019-05-28,9642,204,578,3,Kadri Veseli,#1f78b4
2019-05-29,3644,66,315,3,Kadri Veseli,#1f78b4
2019-05-30,4529,91,347,3,Kadri Veseli,#1f78b4
2019-05-31,8767,52,1453,3,Kadri Veseli,#1f78b4
2019-06-01,2390,19,30,2,Kadri Veseli,#1f78b4
2019-06-03,887,7,15,1,Kadri Veseli,#1f78b4
2019-06-04,5091,34,259,2,Kadri Veseli,#1f78b4
2019-06-05,1501,21,293,1,Kadri Veseli,#1f78b4
2019-06-07,4239,30,86,2,Kadri Veseli,#1f78b4
2019-06-08,2049,35,273,2,Kadri Veseli,#1f78b4
2019-06-09,3914,100,291,3,Kadri Veseli,#1f78b4
2019-06-10,32336,2438,1796,5,Kadri Veseli,#1f78b4
2019-06-11,2715,20,68,1,Kadri Veseli,#1f78b4
2019-06-12,19492,389,455,7,Kadri Veseli,#1f78b4
2019-06-13,2358,49,179,3,Kadri Veseli,#1f78b4
2019-06-14,9143,212,698,3,Kadri Veseli,#1f78b4
2019-06-15,424,2,19,1,Kadri Veseli,#1f78b4
2019-06-16,6088,293,1375,2,Kadri Veseli,#1f78b4
2019-06-17,3241,211,874,2,Kadri Veseli,#1f78b4
2019-06-18,4391,218,254,2,Kadri Veseli,#1f78b4
2019-06-19,1932,105,354,2,Kadri Veseli,#1f78b4
2019-06-22,3483,52,171,1,Kadri Veseli,#1f78b4
2019-06-27,6067,214,133,4,Kadri Veseli,#1f78b4
2019-06-28,1233,63,34,1,Kadri Veseli,#1f78b4
2019-07-02,3345,70,1290,2,Kadri Veseli,#1f78b4
2019-07-04,2310,36,767,2,Kadri Veseli,#1f78b4
2019-07-07,12644,20,3052,1,Kadri Veseli,#1f78b4
2019-07-09,2573,31,266,2,Kadri Veseli,#1f78b4
2019-07-10,4147,175,394,2,Kadri Veseli,#1f78b4
2019-07-11,3275,63,87,3,Kadri Veseli,#1f78b4
2019-07-13,1611,37,111,1,Kadri Veseli,#1f78b4
2019-07-15,2593,73,71,2,Kadri Veseli,#1f78b4
2019-07-16,1136,26,28,1,Kadri Veseli,#1f78b4
2019-07-17,1730,46,75,1,Kadri Veseli,#1f78b4
2019-07-18,1207,27,23,1,Kadri Veseli,#1f78b4
2019-07-19,2707,135,461,1,Kadri Veseli,#1f78b4
2019-07-20,3831,132,692,2,Kadri Veseli,#1f78b4
2019-07-23,2124,24,61,1,Kadri Veseli,#1f78b4
2019-07-26,5441,66,291,2,Kadri Veseli,#1f78b4
2019-07-27,1483,29,102,1,Kadri Veseli,#1f78b4
2019-07-31,6952,104,307,2,Kadri Veseli,#1f78b4
2019-08-01,3763,78,85,2,Kadri Veseli,#1f78b4
2019-08-02,13289,260,688,3,Kadri Veseli,#1f78b4
2019-08-03,1607,18,7,1,Kadri Veseli,#1f78b4
2019-08-04,999,14,45,1,Kadri Veseli,#1f78b4
2019-08-05,3220,81,374,2,Kadri Veseli,#1f78b4
2019-08-06,4807,92,756,2,Kadri Veseli,#1f78b4
2019-08-07,6581,74,259,4,Kadri Veseli,#1f78b4
2019-08-08,7435,162,217,4,Kadri Veseli,#1f78b4
2019-08-09,8730,164,434,4,Kadri Veseli,#1f78b4
2019-08-10,7917,92,1006,2,Kadri Veseli,#1f78b4
2019-08-11,26005,170,1225,5,Kadri Veseli,#1f78b4
2019-08-12,5730,180,476,3,Kadri Veseli,#1f78b4
2019-08-13,5326,77,300,4,Kadri Veseli,#1f78b4
2019-08-14,9506,114,445,6,Kadri Veseli,#1f78b4
2019-08-15,10909,387,1240,5,Kadri Veseli,#1f78b4
2019-08-16,7088,139,609,5,Kadri Veseli,#1f78b4
2019-08-17,10230,270,694,5,Kadri Veseli,#1f78b4
2019-08-18,4597,58,282,2,Kadri Veseli,#1f78b4
2019-08-19,5590,226,399,3,Kadri Veseli,#1f78b4
2019-08-20,9697,216,495,5,Kadri Veseli,#1f78b4
2019-08-21,8707,206,981,4,Kadri Veseli,#1f78b4
2019-08-22,4823,142,371,2,Kadri Veseli,#1f78b4
2019-08-23,7673,298,449,4,Kadri Veseli,#1f78b4
2019-08-24,11345,309,1445,5,Kadri Veseli,#1f78b4
2019-08-25,12166,441,1456,6,Kadri Veseli,#1f78b4
2019-08-26,10101,258,522,7,Kadri Veseli,#1f78b4
2019-08-27,6573,238,373,3,Kadri Veseli,#1f78b4
2019-08-28,6819,221,868,4,Kadri Veseli,#1f78b4
2019-08-29,9493,228,629,4,Kadri Veseli,#1f78b4
2019-08-30,14909,394,1155,6,Kadri Veseli,#1f78b4
2019-08-31,10535,326,1659,5,Kadri Veseli,#1f78b4
2019-09-01,7883,185,475,4,Kadri Veseli,#1f78b4
2019-09-02,7531,185,274,4,Kadri Veseli,#1f78b4
2019-09-03,8075,402,1805,3,Kadri Veseli,#1f78b4
2019-09-04,11783,562,712,4,Kadri Veseli,#1f78b4
2019-09-05,16828,358,743,6,Kadri Veseli,#1f78b4
2019-09-06,24039,1071,2379,7,Kadri Veseli,#1f78b4
2019-09-07,23067,447,3553,7,Kadri Veseli,#1f78b4
