Date,Likes,Comments,Shares
"08/09/19, 12:04",1501.0,251.0,41.0
"08/09/19, 09:39",657.0,68.0,16.0
"07/09/19, 23:09",1526.0,55.0,99.0
"07/09/19, 22:26",1955.0,737.0,15.0
"07/09/19, 20:40",3204.0,129.0,3364.0
"07/09/19, 19:06",3187.0,1420.0,407.0
"07/09/19, 19:00",2550.0,46.0,30.0
"07/09/19, 17:15",635.0,4.0,9.0
"07/09/19, 17:07",9143.0,252.0,140.0
"07/09/19, 15:20",12595,256.0,125.0
"07/09/19, 13:08",5010.0,149.0,295.0
"06/09/19, 21:30",1827.0,946.0,89.0
"06/09/19, 19:38",1346.0,28.0,96.0
"06/09/19, 18:24",1749.0,36.0,55.0
"06/09/19, 12:26",1524.0,13.0,50.0
"06/09/19, 11:51",1956.0,43.0,89.0
"06/09/19, 11:34",815.0,64.0,47.0
"06/09/19, 10:44",1267.0,147.0,54.0
"05/09/19, 21:48",1832.0,123.0,533.0
"05/09/19, 18:19",1343.0,122.0,40.0
"05/09/19, 18:18",1211.0,20.0,63.0
"05/09/19, 17:15",2329.0,153.0,84.0
"05/09/19, 16:31",2191.0,58.0,87.0
"05/09/19, 15:50",1086.0,10.0,32.0
"05/09/19, 15:12",1594.0,20.0,29.0
"05/09/19, 14:29",1023.0,44.0,42.0
"05/09/19, 10:05",940.0,235.0,141.0
"05/09/19, 09:00",2154.0,121.0,494.0
"04/09/19, 19:03",1689.0,24.0,125.0
"04/09/19, 17:05",1365.0,340.0,110.0
"04/09/19, 14:00",4483.0,236.0,488.0
"04/09/19, 11:47",2157.0,51.0,128.0
"04/09/19, 08:30",2709.0,127.0,269.0
"03/09/19, 20:39",1626.0,288.0,115.0
"03/09/19, 20:36",1782.0,14.0,74.0
"03/09/19, 20:24",1358.0,45.0,52.0
"03/09/19, 19:59",4128.0,140.0,127.0
"03/09/19, 17:59",3229.0,44.0,92.0
"03/09/19, 17:34",2355.0,430.0,120.0
"03/09/19, 14:43",1624.0,61.0,46.0
"03/09/19, 13:35",1082.0,140.0,38.0
"03/09/19, 10:24",2294.0,104.0,61.0
"03/09/19, 10:00",8049.0,317.0,338.0
"02/09/19, 22:42",6416.0,330.0,434.0
"02/09/19, 20:36",2467.0,2273.0,135.0
"02/09/19, 18:33",2035.0,91.0,125.0
"02/09/19, 18:20",1585.0,36.0,130.0
"02/09/19, 18:08",2448.0,30.0,89.0
"02/09/19, 15:55",1321.0,64.0,34.0
"02/09/19, 15:11",1252.0,50.0,185.0
"02/09/19, 13:19",641.0,35.0,63.0
"02/09/19, 12:15",1746.0,217.0,99.0
"02/09/19, 11:15",1705.0,19.0,45.0
"02/09/19, 11:00",4110.0,149.0,74.0
"02/09/19, 10:45",450.0,5.0,88.0
"02/09/19, 10:15",1899.0,20.0,54.0
"02/09/19, 08:53",10509.0,815.0,200.0
"01/09/19, 23:00",3623.0,56.0,19.0
"01/09/19, 20:56",865.0,78.0,16.0
"01/09/19, 19:40",2296.0,380.0,43.0
"01/09/19, 19:07",3715.0,803.0,179.0
"01/09/19, 15:45",708.0,10.0,20.0
"01/09/19, 10:21",5454.0,254.0,94.0
"01/09/19, 10:10",484.0,13.0,11.0
"31/08/19, 20:42",4387.0,280.0,282.0
"31/08/19, 18:31",1196.0,193.0,32.0
"31/08/19, 18:15",1201.0,21.0,37.0
"31/08/19, 17:01",2993.0,86.0,50.0
"31/08/19, 16:32",3670.0,108.0,198.0
"31/08/19, 16:26",1403.0,36.0,117.0
"31/08/19, 15:34",3077.0,65.0,36.0
"31/08/19, 15:16",1041.0,9.0,46.0
"31/08/19, 13:31",1047.0,17.0,30.0
"31/08/19, 12:59",1101.0,27.0,94.0
"31/08/19, 10:30",1815.0,101.0,319.0
"31/08/19, 08:30",781.0,53.0,154.0
"30/08/19, 22:10",1998.0,2106.0,160.0
"30/08/19, 21:43",2153.0,53.0,132.0
"30/08/19, 20:47",3439.0,418.0,144.0
"30/08/19, 20:00",2337.0,119.0,129.0
"30/08/19, 19:00",1743.0,30.0,106.0
"30/08/19, 17:59",1943.0,50.0,189.0
"30/08/19, 17:19",2409.0,130.0,114.0
"30/08/19, 15:36",4741.0,142.0,162.0
"30/08/19, 15:07",2541.0,39.0,88.0
"30/08/19, 14:38",2586.0,191.0,144.0
"30/08/19, 13:00",1014.0,71.0,36.0
"30/08/19, 11:40",1014.0,126.0,53.0
"30/08/19, 10:21",3630.0,291.0,564.0
"30/08/19, 09:48",1333.0,22.0,118.0
"29/08/19, 20:38",1761.0,132.0,80.0
"29/08/19, 19:13",1693.0,451.0,80.0
"29/08/19, 16:32",936.0,16.0,101.0
"29/08/19, 15:53",2386.0,26.0,93.0
"29/08/19, 14:36",2264.0,24.0,143.0
"29/08/19, 14:26",515.0,2.0,55.0
"29/08/19, 11:28",764.0,43.0,103.0
"29/08/19, 09:53",2963.0,135.0,459.0
"28/08/19, 17:46",2046.0,63.0,114.0
"28/08/19, 16:27",1956.0,446.0,104.0
"28/08/19, 13:37",1493.0,277.0,241.0
"28/08/19, 10:15",2707.0,131.0,159.0
"27/08/19, 21:24",2070.0,19.0,126.0
"27/08/19, 19:16",1772.0,15.0,107.0
"27/08/19, 17:11",2049.0,68.0,159.0
"27/08/19, 16:55",2075.0,249.0,115.0
"27/08/19, 13:04",4843.0,333.0,167.0
"27/08/19, 12:19",1768.0,99.0,115.0
"27/08/19, 11:51",1767.0,74.0,183.0
"27/08/19, 09:04",2791.0,574.0,130.0
"26/08/19, 23:32",2000.0,39.0,115.0
"26/08/19, 23:20",1141.0,40.0,110.0
"26/08/19, 19:49",1051.0,35.0,150.0
"26/08/19, 19:00",3398.0,168.0,121.0
"26/08/19, 17:39",1270.0,70.0,104.0
"26/08/19, 16:45",2367.0,48.0,110.0
"26/08/19, 14:51",1083.0,77.0,100.0
"26/08/19, 14:13",3695.0,220.0,447.0
"26/08/19, 13:55",5546.0,66.0,165.0
"26/08/19, 12:00",1437.0,30.0,230.0
"26/08/19, 10:55",4117.0,191.0,82.0
"26/08/19, 08:10",2036.0,39.0,35.0
"25/08/19, 20:37",1421.0,34.0,42.0
"25/08/19, 19:16",5016.0,4378.0,53.0
"25/08/19, 18:40",2099.0,46.0,47.0
"25/08/19, 16:38",2722.0,45.0,86.0
"25/08/19, 12:36",2082.0,202.0,57.0
"25/08/19, 09:04",2491.0,279.0,48.0
"24/08/19, 22:24",6598.0,332.0,35.0
"24/08/19, 22:00",1977.0,14.0,8.0
"24/08/19, 15:32",10365.0,258.0,38.0
"24/08/19, 10:03",5203.0,344.0,121.0
"23/08/19, 22:12",5181.0,176.0,27.0
"23/08/19, 18:16",1980.0,541.0,103.0
"23/08/19, 16:55",1693.0,50.0,101.0
"23/08/19, 16:20",884.0,331.0,17.0
"23/08/19, 12:54",4895.0,113.0,52.0
"23/08/19, 12:16",4062.0,125.0,67.0
"22/08/19, 19:52",2767.0,163.0,71.0
"22/08/19, 17:53",1924.0,34.0,49.0
"22/08/19, 14:04",7854.0,263.0,694.0
"22/08/19, 11:40",2241.0,81.0,50.0
"22/08/19, 09:59",1820.0,26.0,43.0
"22/08/19, 09:37",2882.0,133.0,79.0
"21/08/19, 20:26",1557.0,16.0,22.0
"21/08/19, 19:57",2370.0,65.0,34.0
"21/08/19, 18:10",2892.0,38.0,33.0
"21/08/19, 17:40",2553.0,78.0,46.0
"21/08/19, 16:48",1234.0,7.0,27.0
"21/08/19, 13:58",1322.0,6.0,9.0
"21/08/19, 13:19",1097.0,7.0,21.0
"21/08/19, 11:47",1496.0,31.0,28.0
"21/08/19, 11:34",3979.0,247.0,58.0
"21/08/19, 09:13",1069.0,64.0,9.0
"20/08/19, 21:19",1003.0,315.0,41.0
"20/08/19, 20:01",4557.0,88.0,72.0
"20/08/19, 19:08",3323.0,100.0,76.0
"20/08/19, 17:46",1425.0,16.0,21.0
"20/08/19, 16:23",1509.0,6.0,34.0
"20/08/19, 14:10",1118.0,8.0,13.0
"19/08/19, 21:11",1714.0,890.0,64.0
"19/08/19, 19:30",1225.0,11.0,33.0
"19/08/19, 18:33",1169.0,47.0,38.0
"19/08/19, 16:45",3986.0,119.0,223.0
"19/08/19, 15:15",2112.0,838.0,95.0
"19/08/19, 10:09",1384.0,31.0,27.0
"18/08/19, 20:33",1361.0,13.0,37.0
"18/08/19, 19:09",1251.0,6.0,27.0
"18/08/19, 18:07",1433.0,60.0,33.0
"18/08/19, 16:44",1342.0,17.0,13.0
"18/08/19, 15:16",1076.0,19.0,27.0
"18/08/19, 14:28",3376.0,61.0,45.0
"18/08/19, 13:44",19730.0,1224.0,426.0
"18/08/19, 13:19",1750.0,27.0,54.0
"18/08/19, 08:02",3534.0,1954.0,46.0
"17/08/19, 17:54",1238.0,15.0,21.0
"17/08/19, 16:38",3404.0,127.0,25.0
"17/08/19, 16:30",1089.0,18.0,18.0
"17/08/19, 14:25",4028.0,86.0,93.0
"17/08/19, 12:20",650.0,62.0,11.0
"17/08/19, 09:34",4867.0,381.0,36.0
"16/08/19, 19:07",1235.0,17.0,20.0
"16/08/19, 18:16",1146.0,19.0,22.0
"16/08/19, 17:38",3793.0,158.0,103.0
"16/08/19, 15:46",1565.0,168.0,46.0
"16/08/19, 14:12",2248.0,44.0,68.0
"16/08/19, 12:32",1906.0,174.0,53.0
"16/08/19, 10:08",2245.0,73.0,40.0
"15/08/19, 12:50",5305.0,163.0,153.0
"15/08/19, 10:23",1240.0,33.0,21.0
"14/08/19, 16:04",6071.0,264.0,19.0
"14/08/19, 12:38",9475.0,337.0,137.0
"13/08/19, 18:57",2451.0,266.0,116.0
"13/08/19, 17:00",1227.0,29.0,25.0
"13/08/19, 15:06",1157.0,29.0,14.0
"13/08/19, 10:53",2017.0,71.0,36.0
"11/08/19, 11:41",1812.0,134.0,18.0
"11/08/19, 09:38",3880.0,60.0,26.0
"11/08/19, 08:22",9560.0,260.0,67.0
"10/08/19, 19:44",1626.0,26.0,22.0
"10/08/19, 17:59",3853.0,107.0,35.0
"10/08/19, 15:11",787.0,42.0,8.0
"10/08/19, 08:07",1687.0,142.0,14.0
"09/08/19, 13:21",6869.0,151.0,115.0
"08/08/19, 09:41",1656.0,32.0,40.0
"07/08/19, 14:59",1170.0,171.0,13.0
"06/08/19, 12:21",21610,660.0,268.0
"05/08/19, 20:15",5258.0,201.0,98.0
"05/08/19, 15:45",12679,381.0,38.0
"05/08/19, 12:20",1488.0,255.0,48.0
"05/08/19, 12:09",1618.0,14.0,25.0
"04/08/19, 20:38",772.0,15.0,11.0
"04/08/19, 18:15",1716.0,197.0,78.0
"04/08/19, 17:41",1680.0,44.0,25.0
"04/08/19, 16:34",2073.0,198.0,59.0
"04/08/19, 14:14",2300.0,113.0,98.0
"04/08/19, 13:56",2051.0,143.0,49.0
"04/08/19, 10:46",865.0,29.0,8.0
"04/08/19, 10:00",659.0,20.0,6.0
"03/08/19, 19:09",1227.0,2.0,16.0
"03/08/19, 18:17",1038.0,79.0,17.0
"03/08/19, 11:51",2321.0,132.0,46.0
"03/08/19, 10:51",2232.0,115.0,39.0
"02/08/19, 20:22",5161.0,182.0,73.0
"02/08/19, 19:42",889.0,13.0,8.0
"02/08/19, 13:12",2817.0,113.0,41.0
"02/08/19, 12:52",4869.0,384.0,211.0
"01/08/19, 15:44",3399.0,95.0,102.0
"01/08/19, 09:04",1236.0,26.0,14.0
"31/07/19, 20:51",1540.0,28.0,20.0
"31/07/19, 10:50",1452.0,15.0,17.0
"30/07/19, 17:35",924.0,16.0,6.0
"30/07/19, 14:03",756.0,1.0,9.0
"30/07/19, 13:52",935.0,15.0,8.0
"30/07/19, 13:37",755.0,4.0,11.0
"30/07/19, 13:25",677.0,14.0,10.0
"30/07/19, 13:07",664.0,5.0,8.0
"30/07/19, 10:03",500.0,13.0,6.0
"29/07/19, 20:23",3156.0,48.0,24.0
"29/07/19, 20:16",747.0,19.0,14.0
"29/07/19, 19:02",1011.0,16.0,32.0
"29/07/19, 18:56",1531.0,20.0,23.0
"29/07/19, 12:26",1306.0,45.0,22.0
"29/07/19, 11:14",4057.0,505.0,101.0
"29/07/19, 11:09",4831.0,288.0,62.0
"29/07/19, 10:46",2202.0,127.0,30.0
"29/07/19, 09:29",1359.0,116.0,16.0
"29/07/19, 09:02",3148.0,304.0,38.0
"28/07/19, 09:51",7690.0,225.0,27.0
"27/07/19, 19:51",11141.0,2482.0,1581.0
"26/07/19, 20:31",2684.0,991.0,111.0
"26/07/19, 19:25",1260.0,27.0,10.0
"26/07/19, 18:44",731.0,25.0,8.0
"26/07/19, 16:17",2143.0,45.0,90.0
"26/07/19, 14:15",1242.0,45.0,8.0
"26/07/19, 12:42",1495.0,7.0,10.0
"26/07/19, 11:04",2217.0,273.0,33.0
"26/07/19, 10:21",2829.0,73.0,35.0
"26/07/19, 09:38",1555.0,27.0,28.0
"26/07/19, 09:27",3297.0,127.0,30.0
"25/07/19, 23:53",27501.0,2024.0,750.0
"25/07/19, 15:01",2537.0,79.0,53.0
"24/07/19, 18:03",1842.0,25.0,18.0
"24/07/19, 13:43",2033.0,23.0,16.0
"24/07/19, 11:49",13269,698.0,549.0
"23/07/19, 11:48",16762,1359.0,580.0
"22/07/19, 20:12",2349.0,710.0,127.0
"22/07/19, 17:44",2678.0,118.0,167.0
"22/07/19, 16:23",1870.0,164.0,27.0
"22/07/19, 14:19",1970.0,11.0,48.0
"22/07/19, 14:04",2202.0,301.0,39.0
"22/07/19, 11:05",8341.0,701.0,195.0
"22/07/19, 09:41",2763.0,108.0,57.0
"21/07/19, 20:09",7444.0,355.0,66.0
"21/07/19, 11:56",3068.0,108.0,94.0
"21/07/19, 11:12",5972.0,932.0,257.0
"19/07/19, 18:15",20197,1849.0,686.0
"19/07/19, 16:39",21536,4596.0,1567.0
"19/07/19, 16:12",5951.0,2672.0,267.0
"19/07/19, 15:14",2132.0,33.0,28.0
"19/07/19, 13:04",1652.0,14.0,21.0
"19/07/19, 12:07",1034.0,82.0,21.0
"19/07/19, 09:55",1162.0,4.0,8.0
"18/07/19, 21:44",4560.0,427.0,89.0
"18/07/19, 20:04",2803.0,376.0,64.0
"18/07/19, 19:39",1571.0,27.0,8.0
"18/07/19, 17:25",686.0,10.0,20.0
"18/07/19, 17:04",852.0,6.0,10.0
"18/07/19, 14:25",709.0,7.0,22.0
"18/07/19, 13:56",759.0,6.0,6.0
"18/07/19, 13:30",830.0,70.0,11.0
"18/07/19, 13:02",817.0,24.0,37.0
"18/07/19, 12:22",1366.0,15.0,28.0
"18/07/19, 10:39",603.0,23.0,16.0
"18/07/19, 10:01",702.0,3.0,14.0
"17/07/19, 20:57",665.0,19.0,17.0
"17/07/19, 19:25",674.0,14.0,20.0
"17/07/19, 17:55",534.0,14.0,20.0
"17/07/19, 16:24",581.0,11.0,8.0
"17/07/19, 14:08",621.0,2.0,3.0
"17/07/19, 08:09",2447.0,14.0,18.0
"16/07/19, 21:16",632.0,55.0,10.0
"16/07/19, 15:14",681.0,50.0,8.0
