Date,Likes,Comments,Shares
"07/09/19, 19:43",1527.0,42.0,106.0
"07/09/19, 15:38",6428.0,180.0,160.0
"07/09/19, 14:15",321.0,11.0,8.0
"07/09/19, 11:32",2827.0,72.0,136.0
"06/09/19, 18:42",2235.0,166.0,121.0
"05/09/19, 22:32",665.0,22.0,47.0
"05/09/19, 19:39",1015.0,64.0,27.0
"05/09/19, 16:32",2203.0,63.0,114.0
"05/09/19, 16:04",2718.0,297.0,288.0
"05/09/19, 11:22",3067.0,72.0,242.0
"04/09/19, 23:12",3419.0,123.0,255.0
"04/09/19, 16:22",1805.0,103.0,363.0
"03/09/19, 23:22",1565.0,53.0,282.0
"03/09/19, 22:49",1274.0,47.0,58.0
"03/09/19, 19:26",5005.0,263.0,330.0
"03/09/19, 17:36",1057.0,376.0,87.0
"03/09/19, 17:07",837.0,58.0,33.0
"03/09/19, 11:59",3395.0,186.0,243.0
"02/09/19, 20:34",3915.0,211.0,412.0
"02/09/19, 18:15",3089.0,1190.0,177.0
"02/09/19, 17:01",1603.0,97.0,61.0
"02/09/19, 15:16",1462.0,63.0,99.0
"01/09/19, 23:39",2235.0,76.0,125.0
"01/09/19, 20:34",2756.0,158.0,142.0
"01/09/19, 16:28",3850.0,1834.0,447.0
"01/09/19, 14:04",1842.0,97.0,66.0
"31/08/19, 23:21",7314.0,282.0,250.0
"31/08/19, 18:00",5191.0,281.0,356.0
"31/08/19, 13:59",2797.0,210.0,175.0
"31/08/19, 10:31",2544.0,163.0,113.0
"30/08/19, 12:05",3108.0,131.0,125.0
"29/08/19, 21:58",3817.0,171.0,175.0
"29/08/19, 14:26",1921.0,71.0,223.0
"29/08/19, 08:54",2688.0,121.0,162.0
"28/08/19, 20:01",3602.0,212.0,161.0
"28/08/19, 16:03",4933.0,250.0,151.0
"28/08/19, 14:41",3502.0,191.0,165.0
"28/08/19, 14:00",866.0,37.0,58.0
"28/08/19, 11:05",1199.0,64.0,248.0
"27/08/19, 22:34",1294.0,142.0,101.0
"27/08/19, 21:50",3660.0,166.0,140.0
"27/08/19, 20:28",763.0,86.0,83.0
"27/08/19, 18:15",1907.0,160.0,82.0
"27/08/19, 17:53",585.0,16.0,31.0
"27/08/19, 17:51",341.0,6.0,29.0
"27/08/19, 15:42",2941.0,193.0,114.0
"27/08/19, 14:02",8777.0,1261.0,440.0
"27/08/19, 08:26",1685.0,117.0,104.0
"26/08/19, 21:21",1690.0,1116.0,98.0
"26/08/19, 19:58",3791.0,341.0,88.0
"24/08/19, 16:27",6254.0,590.0,288.0
"22/08/19, 21:21",1169.0,171.0,115.0
"22/08/19, 11:10",2674.0,285.0,313.0
"21/08/19, 20:00",1098.0,41.0,59.0
"21/08/19, 17:42",224.0,13.0,20.0
"20/08/19, 20:50",1454.0,43.0,55.0
"11/08/19, 10:05",2136.0,147.0,43.0
"09/08/19, 20:19",1644.0,77.0,103.0
"07/08/19, 20:27",2099.0,171.0,111.0
"06/08/19, 14:46",1997.0,65.0,104.0
"05/08/19, 21:28",2676.0,109.0,113.0
"05/08/19, 18:22",2389.0,142.0,121.0
"04/08/19, 20:57",2467.0,164.0,106.0
"01/08/17, 11:01",2132.0,82.0,127.0
"23/07/19, 09:09",456.0,23.0,35.0
"22/07/19, 16:45",1045.0,59.0,90.0
"19/07/19, 10:37",4813.0,175.0,156.0
"18/07/19, 17:25",512.0,99.0,106.0
"16/07/19, 21:27",1182.0,46.0,61.0
"11/07/19, 20:48",253.0,5.0,27.0
"06/07/19, 12:35",681.0,26.0,36.0
"04/07/19, 22:15",618.0,27.0,28.0
"02/07/19, 21:03",1300.0,27.0,22.0
"30/06/19, 20:30",3003.0,252.0,101.0
"28/06/19, 13:38",464.0,33.0,27.0
"28/06/19, 13:28",133.0,1.0,2.0
"27/06/19, 22:18",695.0,48.0,32.0
"26/06/19, 15:14",1104.0,79.0,66.0
"24/06/19, 09:49",689.0,31.0,42.0
"21/06/19, 21:58",512.0,21.0,21.0
"19/06/19, 12:55",1859.0,78.0,59.0
"17/06/19, 20:43",6239.0,244.0,241.0
"14/06/19, 11:07",1060.0,54.0,39.0
"13/06/19, 10:45",1044.0,32.0,55.0
"10/06/19, 10:05",132.0,4.0,19.0
"12/06/19, 22:22",1174.0,21.0,82.0
"12/06/19, 21:11",676.0,23.0,36.0
"12/06/19, 18:44",289.0,11.0,43.0
"12/06/18, 10:45",353.0,9.0,60.0
"12/06/19, 11:18",981.0,35.0,46.0
"12/06/19, 11:04",1568.0,46.0,112.0
"11/06/19, 20:14",669.0,32.0,68.0
"11/06/19, 09:35",782.0,8.0,35.0
"11/06/19, 10:26",1151.0,39.0,81.0
"10/06/19, 18:46",317.0,56.0,27.0
"10/06/19, 20:04",988.0,24.0,79.0
"07/06/19, 18:21",737.0,38.0,54.0
"05/06/19, 15:24",505.0,106.0,32.0
"04/06/19, 14:41",1349.0,116.0,43.0
"01/06/19, 19:49",164.0,9.0,25.0
"31/05/19, 20:42",1790.0,85.0,53.0
"31/05/19, 17:12",1451.0,333.0,149.0
"31/05/17, 16:23",908.0,41.0,12.0
