Date,Likes,Comments,Shares
"08/09/19, 10:48",1821.0,56.0,67.0
"07/09/19, 20:30",3896.0,88.0,63.0
"07/09/19, 19:20",8416.0,337.0,117.0
"07/09/19, 14:48",10083.0,536.0,138.0
"07/09/19, 09:31",7578.0,715.0,94.0
"06/09/19, 12:50",4345.0,194.0,97.0
"05/09/19, 23:31",5735.0,329.0,397.0
"05/09/19, 15:58",4322.0,180.0,93.0
"05/09/19, 10:01",7884.0,655.0,278.0
"04/09/19, 21:53",5911.0,126.0,64.0
"04/09/19, 20:11",4013.0,4761.0,889.0
"04/09/19, 15:08",4183.0,203.0,136.0
"04/09/19, 10:00",5550.0,175.0,103.0
"03/09/19, 10:14",3785.0,163.0,115.0
"02/09/19, 21:00",4341.0,205.0,125.0
"02/09/19, 18:00",3017.0,147.0,60.0
"02/09/19, 14:20",4644.0,198.0,86.0
"02/09/19, 08:58",3961.0,115.0,171.0
"01/09/19, 21:03",4592.0,246.0,114.0
"01/09/19, 16:56",2253.0,32.0,33.0
"01/09/19, 10:50",6101.0,271.0,107.0
"31/08/19, 12:27",4517.0,286.0,124.0
"30/08/19, 15:02",13367.0,3242.0,1723.0
"30/08/19, 13:23",4729.0,273.0,171.0
"29/08/19, 20:21",4529.0,197.0,108.0
"28/08/19, 21:29",12903.0,2005.0,1800.0
"28/08/19, 18:10",5317.0,352.0,162.0
"28/08/19, 10:27",8587.0,508.0,158.0
"27/08/19, 18:00",6293.0,419.0,186.0
"27/08/19, 10:22",5211.0,244.0,149.0
"26/08/19, 16:09",6650.0,384.0,342.0
"26/08/19, 11:00",5057.0,209.0,104.0
"25/08/19, 20:48",4460.0,232.0,107.0
"25/08/19, 11:19",6750.0,350.0,196.0
"24/08/19, 20:02",5350.0,99.0,113.0
"24/08/19, 17:54",2764.0,1555.0,370.0
"24/08/19, 14:32",3383.0,121.0,125.0
"24/08/19, 11:37",6866.0,379.0,166.0
"23/08/19, 18:00",6962.0,313.0,115.0
"23/08/19, 10:33",4283.0,292.0,136.0
"22/08/19, 20:33",5513.0,4710.0,863.0
"22/08/19, 11:56",2005.0,235.0,25.0
"22/08/19, 12:10",14399.0,1649.0,538.0
"20/08/19, 14:44",8415.0,930.0,390.0
"19/08/19, 20:02",5889.0,238.0,111.0
"18/08/19, 21:06",2002.0,43.0,45.0
"17/08/19, 17:08",3488.0,176.0,267.0
"16/08/19, 20:00",4935.0,369.0,215.0
"16/08/19, 10:00",3896.0,221.0,246.0
"15/08/19, 14:53",2299.0,61.0,92.0
"14/08/19, 20:16",4191.0,115.0,198.0
"13/08/19, 19:57",7046.0,343.0,160.0
"13/08/19, 12:17",9826.0,2823.0,193.0
"11/08/19, 09:42",5648.0,278.0,146.0
"07/08/19, 18:03",2398.0,121.0,133.0
"06/08/19, 16:47",5042.0,416.0,399.0
"04/08/19, 19:32",6517.0,439.0,296.0
"03/08/19, 22:14",4253.0,151.0,169.0
"02/08/19, 22:05",5657.0,352.0,182.0
"01/08/19, 19:16",2398.0,35.0,71.0
"31/07/19, 20:37",2933.0,154.0,126.0
"31/07/19, 12:28",3298.0,103.0,160.0
"30/07/19, 19:00",4210.0,345.0,250.0
"30/07/19, 11:13",2924.0,137.0,146.0
"29/07/19, 12:25",3670.0,347.0,154.0
"27/07/19, 00:10",2480.0,67.0,28.0
"26/07/19, 12:50",3673.0,137.0,154.0
"25/07/19, 22:05",3248.0,136.0,144.0
"25/07/19, 11:39",6586.0,415.0,254.0
"22/07/19, 20:36",3256.0,109.0,61.0
"21/07/19, 16:19",3070.0,282.0,192.0
"19/07/19, 17:16",8110.0,2898.0,753.0
"17/07/19, 16:29",1955.0,74.0,96.0
"15/07/19, 13:07",1313.0,17.0,75.0
"14/07/19, 13:41",1535.0,48.0,88.0
"13/07/19, 17:10",1281.0,18.0,69.0
"12/07/19, 13:17",2442.0,105.0,97.0
"08/07/19, 15:00",1724.0,57.0,119.0
"04/07/19, 20:41",2364.0,97.0,120.0
"02/07/19, 21:26",1367.0,19.0,58.0
"01/07/19, 20:59",1755.0,78.0,139.0
"01/07/19, 10:24",1669.0,27.0,131.0
"29/06/19, 16:12",4532.0,3202.0,82.0
"28/06/19, 20:46",1667.0,45.0,47.0
"28/06/19, 09:31",1831.0,73.0,119.0
"27/06/19, 20:41",1255.0,57.0,81.0
"27/06/19, 10:49",1578.0,76.0,127.0
"25/06/19, 20:55",2037.0,74.0,113.0
"24/06/19, 14:01",3451.0,302.0,488.0
"23/06/19, 11:51",2059.0,169.0,145.0
"21/06/19, 11:21",1948.0,81.0,45.0
"20/06/19, 20:22",2349.0,78.0,114.0
"19/06/19, 11:44",2009.0,88.0,87.0
"18/06/19, 16:43",2664.0,566.0,108.0
"15/06/19, 13:18",1409.0,22.0,44.0
"13/06/19, 21:04",4578.0,298.0,164.0
"10/06/19, 17:15",2449.0,46.0,70.0
"09/06/19, 13:36",3045.0,123.0,108.0
"07/06/19, 19:50",2159.0,38.0,88.0
"06/06/19, 20:01",3261.0,92.0,93.0
"04/06/19, 20:44",3698.0,106.0,118.0
"04/06/19, 07:39",7397.0,319.0,169.0
"03/06/19, 10:00",8970.0,1721.0,246.0
