Date,Likes,Comments,Shares
"07/09/19, 22:31",1198.0,776.0,6.0
"07/09/19, 21:43",1802.0,41.0,54.0
"07/09/19, 20:51",2792.0,352.0,38.0
"07/09/19, 17:43",6301.0,468.0,124.0
"07/09/19, 15:02",3381.0,97.0,89.0
"07/09/19, 13:04",6485.0,1792.0,102.0
"07/09/19, 11:33",1108.0,27.0,34.0
"06/09/19, 22:16",2646.0,134.0,45.0
"06/09/19, 21:24",5815.0,988.0,221.0
"06/09/19, 18:52",1483.0,62.0,41.0
"06/09/19, 15:21",4629.0,648.0,233.0
"06/09/19, 13:19",4986.0,339.0,413.0
"06/09/19, 11:17",1816.0,31.0,53.0
"06/09/19, 09:04",2664.0,177.0,65.0
"05/09/19, 20:53",2425.0,81.0,55.0
"05/09/19, 19:28",4024.0,246.0,79.0
"05/09/19, 18:27",2837.0,121.0,90.0
"05/09/19, 17:14",2192.0,93.0,40.0
"05/09/19, 14:10",3398.0,166.0,71.0
"05/09/19, 12:39",1952.0,36.0,23.0
"04/09/19, 21:00",2603.0,241.0,294.0
"04/09/19, 20:10",1638.0,57.0,68.0
"04/09/19, 17:22",5311.0,341.0,174.0
"04/09/19, 14:50",2231.0,73.0,26.0
"03/09/19, 18:53",3484.0,618.0,224.0
"03/09/19, 17:27",2539.0,607.0,88.0
"03/09/19, 11:22",2052.0,580.0,90.0
"02/09/19, 20:37",1957.0,138.0,43.0
"02/09/19, 18:09",1797.0,22.0,49.0
"02/09/19, 12:29",1691.0,40.0,41.0
"02/09/19, 08:46",2086.0,74.0,52.0
"01/09/19, 23:40",1187.0,54.0,17.0
"01/09/19, 22:07",1914.0,42.0,40.0
"01/09/19, 15:12",1639.0,89.0,47.0
"01/09/19, 10:55",3143.0,290.0,81.0
"31/08/19, 21:01",2123.0,140.0,56.0
"31/08/19, 20:00",2438.0,67.0,38.0
"31/08/19, 17:49",1860.0,1264.0,145.0
"31/08/19, 13:28",2191.0,52.0,17.0
"31/08/19, 11:00",1923.0,136.0,70.0
"30/08/19, 21:58",5221.0,202.0,103.0
"30/08/19, 20:35",1994.0,309.0,45.0
"30/08/19, 19:15",2759.0,113.0,43.0
"30/08/19, 16:13",1895.0,73.0,97.0
"30/08/19, 13:19",2450.0,453.0,90.0
"30/08/19, 10:32",590.0,5.0,16.0
"29/08/19, 21:09",1859.0,142.0,34.0
"29/08/19, 18:22",2663.0,305.0,103.0
"29/08/19, 14:39",1442.0,37.0,33.0
"29/08/19, 10:53",3529.0,145.0,58.0
"28/08/19, 19:53",950.0,36.0,9.0
"28/08/19, 17:27",1407.0,84.0,44.0
"28/08/19, 14:44",2715.0,546.0,88.0
"28/08/19, 10:50",1747.0,202.0,80.0
"27/08/19, 14:15",4024.0,304.0,200.0
"27/08/19, 13:20",1083.0,23.0,18.0
"27/08/19, 11:10",1466.0,46.0,20.0
"26/08/19, 22:30",1219.0,77.0,37.0
"26/08/19, 20:25",2065.0,165.0,65.0
"26/08/19, 19:02",2270.0,136.0,74.0
"26/08/19, 17:30",1638.0,53.0,18.0
"26/08/19, 16:20",831.0,23.0,7.0
"26/08/19, 13:28",1063.0,47.0,18.0
"26/08/19, 12:21",1015.0,21.0,39.0
"25/08/19, 20:37",3263.0,1034.0,304.0
"25/08/19, 19:27",1292.0,68.0,39.0
"25/08/19, 18:18",1708.0,72.0,25.0
"25/08/19, 17:00",3427.0,148.0,29.0
"25/08/19, 14:26",1490.0,119.0,15.0
"25/08/19, 10:20",986.0,15.0,29.0
"24/08/19, 22:10",1799.0,181.0,39.0
"24/08/19, 21:13",2078.0,63.0,40.0
"24/08/19, 18:22",1451.0,41.0,37.0
"24/08/19, 13:46",2198.0,141.0,49.0
"24/08/19, 12:05",3819.0,1019.0,144.0
"23/08/19, 20:54",4135.0,325.0,202.0
"23/08/19, 16:37",1171.0,24.0,24.0
"23/08/19, 14:43",1092.0,40.0,27.0
"23/08/19, 12:52",1275.0,60.0,45.0
"22/08/19, 17:46",548.0,2.0,5.0
"22/08/19, 14:19",4275.0,369.0,137.0
"21/08/19, 22:15",1881.0,444.0,77.0
"21/08/19, 19:25",1697.0,53.0,21.0
"21/08/19, 15:22",2412.0,156.0,48.0
"21/08/19, 13:38",2717.0,328.0,60.0
"20/08/19, 20:26",1914.0,78.0,55.0
"20/08/19, 18:01",1979.0,113.0,30.0
"20/08/19, 15:12",1699.0,98.0,23.0
"20/08/19, 13:27",2012.0,64.0,38.0
"20/08/19, 11:13",2093.0,142.0,70.0
"19/08/19, 17:01",1003.0,9.0,14.0
"19/08/19, 14:49",2644.0,300.0,152.0
"19/08/19, 11:30",1943.0,90.0,60.0
"18/08/19, 14:07",1644.0,103.0,29.0
"18/08/19, 09:59",2953.0,179.0,29.0
"17/08/19, 21:32",1818.0,91.0,37.0
"17/08/19, 20:22",3728.0,199.0,78.0
"17/08/19, 17:17",2247.0,157.0,119.0
"17/08/19, 15:54",1065.0,117.0,15.0
"17/08/19, 12:00",1372.0,130.0,21.0
"16/08/19, 21:07",1482.0,41.0,59.0
"16/08/19, 19:07",1324.0,421.0,18.0
"16/08/19, 17:07",1016.0,21.0,11.0
"16/08/19, 14:47",1715.0,63.0,12.0
"16/08/19, 13:29",1551.0,63.0,39.0
"15/08/19, 21:01",3036.0,826.0,282.0
"15/08/19, 18:03",1131.0,21.0,12.0
"15/08/19, 16:23",1946.0,184.0,23.0
"15/08/19, 14:41",1832.0,138.0,38.0
"15/08/19, 09:29",2964.0,71.0,32.0
"14/08/19, 21:50",1277.0,32.0,20.0
"14/08/19, 20:01",2587.0,222.0,42.0
"14/08/19, 15:54",1814.0,79.0,14.0
"14/08/19, 12:02",1534.0,20.0,14.0
"14/08/19, 11:43",823.0,1.0,4.0
"14/08/19, 09:38",1471.0,91.0,20.0
"13/08/19, 17:05",1222.0,24.0,33.0
"13/08/19, 16:02",769.0,14.0,4.0
"13/08/19, 14:50",2411.0,242.0,36.0
"13/08/19, 09:40",924.0,20.0,4.0
"12/08/19, 16:06",2449.0,127.0,137.0
"12/08/19, 13:39",2135.0,282.0,30.0
"12/08/19, 10:43",1146.0,67.0,13.0
"11/08/19, 19:32",1945.0,70.0,16.0
"11/08/19, 16:09",11835.0,598.0,22.0
"11/08/19, 12:38",4308.0,121.0,41.0
"11/08/19, 10:44",4748.0,104.0,50.0
"11/08/19, 10:10",3169.0,332.0,41.0
"10/08/19, 22:20",2333.0,47.0,10.0
"10/08/19, 09:20",5584.0,959.0,82.0
"09/08/19, 20:57",1874.0,136.0,37.0
"09/08/19, 17:38",2525.0,62.0,19.0
"09/08/19, 12:21",2687.0,56.0,70.0
"09/08/19, 10:12",1644.0,180.0,38.0
"08/08/19, 22:19",2579.0,93.0,87.0
"08/08/19, 19:14",1229.0,30.0,38.0
"08/08/19, 17:55",1244.0,42.0,15.0
"08/08/19, 10:55",2383.0,52.0,22.0
"07/08/19, 22:27",2194.0,29.0,20.0
"07/08/19, 17:06",2338.0,140.0,30.0
"07/08/19, 13:54",1106.0,31.0,14.0
"07/08/19, 11:52",943.0,59.0,10.0
"06/08/19, 20:30",1457.0,68.0,49.0
"06/08/19, 15:50",3350.0,688.0,43.0
"05/08/19, 21:05",1473.0,24.0,38.0
"05/08/19, 11:50",1747.0,350.0,43.0
"04/08/19, 13:53",999.0,45.0,14.0
"03/08/19, 16:22",1607.0,7.0,18.0
"02/08/19, 23:37",8631.0,459.0,66.0
"02/08/19, 16:53",1979.0,156.0,152.0
"02/08/19, 14:45",2679.0,73.0,42.0
"01/08/19, 18:31",1799.0,55.0,28.0
"01/08/19, 14:28",1964.0,30.0,50.0
"31/07/19, 23:03",4103.0,160.0,69.0
"31/07/19, 22:06",2849.0,147.0,35.0
"27/07/19, 18:02",1483.0,102.0,29.0
"26/07/19, 13:45",2275.0,135.0,22.0
"26/07/19, 13:13",3166.0,156.0,44.0
"23/07/19, 16:39",2124.0,61.0,24.0
"20/07/19, 18:54",1828.0,521.0,84.0
"20/07/19, 15:30",2003.0,171.0,48.0
"19/07/19, 18:54",2707.0,461.0,135.0
"18/07/19, 18:59",1207.0,23.0,27.0
"17/07/19, 16:27",1730.0,75.0,46.0
"16/07/19, 11:05",1136.0,28.0,26.0
"15/07/19, 21:14",1210.0,28.0,34.0
"15/07/19, 19:10",1383.0,43.0,39.0
"13/07/19, 13:47",1611.0,111.0,37.0
"11/07/19, 16:18",1779.0,46.0,45.0
"11/07/19, 13:44",848.0,20.0,12.0
"11/07/19, 12:34",648.0,21.0,6.0
"10/07/19, 15:21",2123.0,293.0,77.0
"10/07/19, 11:19",2024.0,101.0,98.0
"09/07/19, 15:55",1649.0,251.0,16.0
"09/07/19, 11:26",924.0,15.0,15.0
"07/07/19, 20:27",12644.0,3052.0,20.0
"04/07/19, 14:52",1082.0,7.0,16.0
"04/07/19, 11:13",1228.0,760.0,20.0
"02/07/19, 19:02",2444.0,1278.0,25.0
"02/07/19, 08:49",901.0,12.0,45.0
"28/06/19, 15:55",1233.0,34.0,63.0
"27/06/19, 20:20",985.0,13.0,19.0
"27/06/19, 18:00",727.0,9.0,22.0
"27/06/19, 16:24",1808.0,24.0,30.0
"27/06/19, 11:34",2547.0,87.0,143.0
"22/06/19, 18:05",3483.0,171.0,52.0
"19/06/19, 20:50",433.0,23.0,20.0
"19/06/19, 15:19",1499.0,331.0,85.0
"18/06/19, 19:06",1433.0,28.0,22.0
"18/06/19, 14:36",2958.0,226.0,196.0
"17/06/19, 20:38",1130.0,268.0,17.0
"17/06/19, 20:35",2111.0,606.0,194.0
"16/06/19, 11:50",4375.0,795.0,205.0
"16/06/19, 10:17",1713.0,580.0,88.0
"15/06/19, 15:07",424.0,19.0,2.0
"14/06/19, 12:20",7289.0,542.0,191.0
"14/06/19, 11:18",1296.0,151.0,16.0
"14/06/19, 10:30",558.0,5.0,5.0
"13/06/19, 19:01",835.0,71.0,23.0
"13/06/19, 17:37",961.0,108.0,19.0
"13/06/19, 12:51",562.0,0.0,7.0
"12/06/19, 21:54",3221.0,90.0,12.0
"12/06/19, 19:27",1761.0,14.0,32.0
"12/06/19, 17:44",3518.0,48.0,76.0
"12/06/19, 17:03",2549.0,28.0,44.0
"12/06/19, 13:48",1844.0,14.0,49.0
"12/06/19, 11:35",2159.0,193.0,73.0
"12/06/19, 10:42",4440.0,68.0,103.0
"11/06/19, 22:07",2715.0,68.0,20.0
"10/06/19, 23:02",19812,1174.0,2060.0
"10/06/19, 22:39",5633.0,265.0,204.0
"10/06/19, 18:44",4485.0,127.0,59.0
"10/06/19, 16:41",1640.0,220.0,107.0
"10/06/19, 13:54",766.0,10.0,8.0
"09/06/19, 18:16",1540.0,20.0,44.0
"09/06/19, 13:25",1145.0,264.0,41.0
"09/06/19, 12:23",1229.0,7.0,15.0
"08/06/19, 20:33",843.0,56.0,10.0
"08/06/19, 16:17",1206.0,217.0,25.0
"07/06/19, 22:40",3081.0,69.0,10.0
"07/06/19, 13:28",1158.0,17.0,20.0
"05/06/19, 16:29",1501.0,293.0,21.0
"04/06/19, 10:38",2667.0,89.0,15.0
"04/06/19, 09:59",2424.0,170.0,19.0
"03/06/19, 14:22",887.0,15.0,7.0
"01/06/19, 18:59",1374.0,10.0,14.0
"01/06/19, 16:52",1016.0,20.0,5.0
"31/05/19, 18:13",6607.0,1336.0,18.0
"31/05/19, 15:59",776.0,5.0,17.0
"31/05/19, 14:26",1384.0,112.0,17.0
"30/05/19, 18:00",1200.0,85.0,19.0
"30/05/19, 15:46",1737.0,79.0,54.0
"30/05/19, 14:51",1592.0,183.0,18.0
"29/05/19, 17:01",1330.0,175.0,20.0
"29/05/19, 13:49",1371.0,37.0,28.0
"29/05/19, 12:07",943.0,103.0,18.0
"28/05/19, 13:29",3209.0,164.0,79.0
"28/05/19, 12:57",4614.0,335.0,81.0
"28/05/19, 10:46",1819.0,79.0,44.0
"27/05/19, 16:33",1784.0,287.0,76.0
"27/05/19, 14:39",1361.0,73.0,40.0
"27/05/19, 12:52",774.0,3.0,16.0
"27/05/19, 10:56",746.0,4.0,20.0
"26/05/19, 12:08",1365.0,31.0,16.0
"25/05/19, 19:39",1128.0,43.0,25.0
"24/05/19, 16:49",1066.0,130.0,22.0
"24/05/19, 10:45",1198.0,55.0,40.0
"23/05/19, 17:40",2455.0,416.0,156.0
